Encontrados,Colisoes,TempoInsercao,TempoBusca
38344,49495,0.046836,0.169551
38344,49495,0.058919,0.194333
38344,49495,0.060826,0.205099
38344,49495,0.052728,0.156612
38344,49495,0.067270,0.163161
38344,49495,0.054526,0.160116
38344,49495,0.055016,0.154726
38344,49495,0.053221,0.176453
38344,49495,0.053357,0.167421
38344,49495,0.054692,0.159455
38344,49495,0.054657,0.162924
38344,49495,0.055204,0.155193
38344,49495,0.054475,0.160107
38344,49495,0.053717,0.159768
38344,49495,0.053831,0.157870
38344,49495,0.053567,0.161027
38344,49495,0.054050,0.165056
38344,49495,0.054866,0.153764
38344,49495,0.054692,0.155315
38344,49495,0.054896,0.154556
38344,49495,0.054529,0.158562
38344,49495,0.053390,0.154677
38344,49495,0.053853,0.154869
38344,49495,0.056042,0.152657
38344,49495,0.053105,0.162682
38344,49495,0.055645,0.154079
38344,49495,0.054806,0.153948
38344,49495,0.054577,0.161753
38344,49495,0.053798,0.158108
38344,49495,0.054007,0.152720
38344,49495,0.053938,0.154860
38344,49495,0.054395,0.153393
38344,49495,0.053683,0.159497
38344,49495,0.056083,0.157708
38344,49495,0.054364,0.155021
38344,49495,0.054250,0.152820
38344,49495,0.053673,0.157959
38344,49495,0.054912,0.156298
38344,49495,0.054952,0.152801
38344,49495,0.054465,0.153472
38344,49495,0.053704,0.160766
38344,49495,0.053312,0.158382
38344,49495,0.054507,0.157997
38344,49495,0.055398,0.156795
38344,49495,0.053658,0.164742
38344,49495,0.054445,0.154480
38344,49495,0.053041,0.157930
38344,49495,0.054080,0.157227
38344,49495,0.053214,0.162999
38344,49495,0.061265,0.168017
38344,49495,0.054648,0.155794
38344,49495,0.055501,0.154840
