Encontrados,Colisoes,TempoInsercao,TempoBusca
38344,19355,0.009688,0.014572
38344,19355,0.010528,0.016742
38344,19355,0.010149,0.013308
38344,19355,0.010438,0.012097
38344,19355,0.009517,0.012467
38344,19355,0.009295,0.011801
38344,19355,0.009278,0.012225
38344,19355,0.010281,0.012991
38344,19355,0.009379,0.012013
38344,19355,0.009917,0.012377
38344,19355,0.009146,0.012124
38344,19355,0.009280,0.012134
38344,19355,0.009252,0.012012
38344,19355,0.009392,0.012082
38344,19355,0.009342,0.012028
38344,19355,0.010048,0.012358
38344,19355,0.009486,0.012217
38344,19355,0.009251,0.012230
38344,19355,0.009440,0.012220
38344,19355,0.009601,0.012331
38344,19355,0.009568,0.012066
38344,19355,0.009531,0.011968
38344,19355,0.009226,0.012074
38344,19355,0.009605,0.012179
38344,19355,0.010179,0.012445
38344,19355,0.009829,0.012645
38344,19355,0.010259,0.012327
38344,19355,0.009482,0.012060
38344,19355,0.010064,0.011938
38344,19355,0.009995,0.012199
38344,19355,0.009352,0.012091
38344,19355,0.009164,0.012266
38344,19355,0.008973,0.012269
38344,19355,0.010512,0.011976
38344,19355,0.009251,0.012224
38344,19355,0.009347,0.012644
38344,19355,0.009451,0.012464
38344,19355,0.009295,0.012844
38344,19355,0.009491,0.012117
38344,19355,0.009395,0.012437
38344,19355,0.009376,0.013831
38344,19355,0.009543,0.012199
38344,19355,0.009732,0.012248
38344,19355,0.009538,0.012320
38344,19355,0.009472,0.012333
38344,19355,0.009231,0.012490
38344,19355,0.009325,0.012187
38344,19355,0.009895,0.012520
38344,19355,0.009566,0.012132
38344,19355,0.009972,0.013428
38344,19355,0.009230,0.012588
38344,19355,0.009641,0.012215
