Encontrados,Colisoes,TempoInsercao,TempoBusca
38344,49495,0.281526,0.712372
38344,49495,0.293864,0.723098
38344,49495,0.300348,0.802229
38344,49495,0.286067,0.713754
38344,49495,0.281982,0.692501
38344,49495,0.285362,0.698131
38344,49495,0.286191,0.707794
38344,49495,0.287337,0.713414
38344,49495,0.281508,0.692355
38344,49495,0.281008,0.694800
38344,49495,0.290799,0.696417
38344,49495,0.282352,0.709143
38344,49495,0.349805,0.804505
38344,49495,0.286407,0.702398
38344,49495,0.284864,0.705752
38344,49495,0.286386,0.701094
38344,49495,0.280745,0.695337
38344,49495,0.285738,0.693821
38344,49495,0.283014,0.689745
38344,49495,0.282723,0.691127
38344,49495,0.282116,0.716980
38344,49495,0.287774,0.692000
38344,49495,0.291036,0.703346
38344,49495,0.292308,0.699945
38344,49495,0.348196,0.896342
38344,49495,0.291808,0.730534
38344,49495,0.283631,0.696935
38344,49495,0.283091,0.695344
38344,49495,0.284892,0.720234
38344,49495,0.279565,0.694705
38344,49495,0.284701,0.699020
38344,49495,0.284972,0.688872
38344,49495,0.287747,0.689018
38344,49495,0.291550,0.711528
38344,49495,0.281171,0.690118
38344,49495,0.283105,0.693934
38344,49495,0.286261,0.832332
38344,49495,0.290322,0.701902
38344,49495,0.275902,0.693306
38344,49495,0.274936,0.665698
38344,49495,0.273519,0.669904
38344,49495,0.280766,0.673894
38344,49495,0.273001,0.674468
38344,49495,0.275406,0.665558
38344,49495,0.276289,0.673163
38344,49495,0.276457,0.672796
38344,49495,0.271768,0.678370
38344,49495,0.274790,0.678476
38344,49495,0.274254,0.663728
38344,49495,0.271673,0.671883
38344,49495,0.348896,0.802334
38344,49495,0.281127,0.665334
