Encontrados,Tempo
35557,3.777787
35557,3.662466
35557,3.611745
35557,3.711924
35557,3.502080
35557,3.497374
35557,3.503801
35557,3.471210
35557,3.472386
35557,3.480661
35557,3.465454
35557,3.470865
35557,3.457647
35557,3.866260
35557,3.467061
35557,3.458100
35557,3.479049
35557,3.467102
35557,3.472787
35557,3.488619
35557,3.460490
35557,3.465701
35557,3.856454
35557,3.469142
35557,3.487008
35557,3.513010
35557,3.719004
35557,3.595281
35557,3.481679
35557,3.476027
35557,3.500062
35557,3.501711
35557,3.465525
35557,3.477339
35557,3.508493
35557,3.530382
35557,3.536702
35557,3.540146
35557,3.539805
35557,3.531020
35557,3.548619
35557,3.500090
35557,3.477832
35557,3.494108
35557,3.482664
35557,3.461206
35557,3.477862
35557,3.480998
35557,3.474550
35557,3.487727
35557,3.491427
35557,3.481073
