Encontrados,Colisoes,TempoInsercao,TempoBusca
38344,39582,0.019592,0.064106
38344,39582,0.027812,0.075586
38344,39582,0.024326,0.080589
38344,39582,0.021343,0.070692
38344,39582,0.021268,0.075419
38344,39582,0.024247,0.075807
38344,39582,0.020487,0.069213
38344,39582,0.023434,0.063882
38344,39582,0.020637,0.066980
38344,39582,0.022026,0.069427
38344,39582,0.021681,0.067604
38344,39582,0.020725,0.072990
38344,39582,0.020993,0.067697
38344,39582,0.023386,0.063272
38344,39582,0.020217,0.067392
38344,39582,0.019943,0.067795
38344,39582,0.024751,0.063334
38344,39582,0.021920,0.067007
38344,39582,0.023415,0.064143
38344,39582,0.021240,0.066952
38344,39582,0.024552,0.064499
38344,39582,0.019755,0.069188
38344,39582,0.023740,0.064038
38344,39582,0.024815,0.065082
38344,39582,0.023904,0.065033
38344,39582,0.022731,0.066351
38344,39582,0.020274,0.068554
38344,39582,0.020588,0.067431
38344,39582,0.023606,0.062526
38344,39582,0.027013,0.078000
38344,39582,0.022561,0.064845
38344,39582,0.021717,0.065018
38344,39582,0.021568,0.065018
38344,39582,0.022820,0.065293
38344,39582,0.022876,0.068579
38344,39582,0.022639,0.063416
38344,39582,0.021245,0.067095
38344,39582,0.019059,0.069607
38344,39582,0.022427,0.063418
38344,39582,0.022808,0.069489
38344,39582,0.023387,0.065655
38344,39582,0.022329,0.064463
38344,39582,0.021293,0.066382
38344,39582,0.020338,0.067126
38344,39582,0.019587,0.069781
38344,39582,0.018821,0.069119
38344,39582,0.026178,0.067914
38344,39582,0.023723,0.064234
38344,39582,0.024946,0.063884
38344,39582,0.022785,0.065298
38344,39582,0.023781,0.063507
38344,39582,0.020100,0.067566
