Encontrados,Colisoes,TempoInsercao,TempoBusca
38344,39529,0.028473,0.077486
38344,39529,0.032309,0.101987
38344,39529,0.033496,0.072312
38344,39529,0.031778,0.081192
38344,39529,0.032875,0.074198
38344,39529,0.030533,0.076214
38344,39529,0.030549,0.074227
38344,39529,0.031674,0.086561
38344,39529,0.032626,0.075659
38344,39529,0.029824,0.077430
38344,39529,0.030903,0.076648
38344,39529,0.031209,0.072901
38344,39529,0.031147,0.076940
38344,39529,0.031986,0.074167
38344,39529,0.031156,0.074238
38344,39529,0.031709,0.076052
38344,39529,0.031796,0.081007
38344,39529,0.031627,0.075452
38344,39529,0.031656,0.075916
38344,39529,0.028312,0.077136
38344,39529,0.027404,0.077108
38344,39529,0.031467,0.074559
38344,39529,0.031424,0.075249
38344,39529,0.030134,0.077083
38344,39529,0.034477,0.073685
38344,39529,0.031539,0.076747
38344,39529,0.032120,0.094231
38344,39529,0.031402,0.073587
38344,39529,0.031709,0.074038
38344,39529,0.028220,0.078250
38344,39529,0.032052,0.073536
38344,39529,0.030043,0.074938
38344,39529,0.029594,0.076446
38344,39529,0.032281,0.076119
38344,39529,0.029774,0.079205
38344,39529,0.030815,0.076110
38344,39529,0.031345,0.077385
38344,39529,0.030951,0.076155
38344,39529,0.033397,0.075448
38344,39529,0.032153,0.072664
38344,39529,0.032062,0.074445
38344,39529,0.030332,0.078000
38344,39529,0.031832,0.076673
38344,39529,0.032407,0.073570
38344,39529,0.031335,0.073482
38344,39529,0.031556,0.076084
38344,39529,0.030823,0.074992
38344,39529,0.031433,0.076073
38344,39529,0.032850,0.074673
38344,39529,0.031720,0.080951
38344,39529,0.030351,0.074355
38344,39529,0.029158,0.076887
