Encontrados,Colisoes,TempoInsercao,TempoBusca
38344,49495,0.054785,0.155128
38344,49495,0.055813,0.179935
38344,49495,0.054862,0.159296
38344,49495,0.060034,0.174742
38344,49495,0.061581,0.176855
38344,49495,0.066871,0.163210
38344,49495,0.057940,0.154412
38344,49495,0.057532,0.158091
38344,49495,0.063153,0.155139
38344,49495,0.056635,0.163526
38344,49495,0.055128,0.169880
38344,49495,0.055522,0.156421
38344,49495,0.055655,0.159197
38344,49495,0.055777,0.156068
38344,49495,0.055413,0.158713
38344,49495,0.056409,0.155535
38344,49495,0.056944,0.154686
38344,49495,0.055660,0.154886
38344,49495,0.054016,0.157782
38344,49495,0.055050,0.164535
38344,49495,0.055247,0.153963
38344,49495,0.055809,0.159614
38344,49495,0.056493,0.161504
38344,49495,0.058035,0.154840
38344,49495,0.058693,0.157159
38344,49495,0.054889,0.157862
38344,49495,0.054716,0.161951
38344,49495,0.057495,0.155692
38344,49495,0.056175,0.158988
38344,49495,0.056063,0.155026
38344,49495,0.056847,0.154954
38344,49495,0.057537,0.158511
38344,49495,0.058534,0.154345
38344,49495,0.056444,0.159589
38344,49495,0.060799,0.156986
38344,49495,0.056600,0.156271
38344,49495,0.056644,0.156020
38344,49495,0.057428,0.157746
38344,49495,0.055619,0.156806
38344,49495,0.057300,0.158759
38344,49495,0.059149,0.160315
38344,49495,0.052043,0.162792
38344,49495,0.058202,0.156998
38344,49495,0.057619,0.158728
38344,49495,0.056579,0.162593
38344,49495,0.056085,0.157468
38344,49495,0.057810,0.154229
38344,49495,0.054798,0.160304
38344,49495,0.056618,0.163754
38344,49495,0.058350,0.159428
38344,49495,0.056304,0.154920
38344,49495,0.056066,0.160120
