Encontrados,Colisoes,TempoInsercao,TempoBusca
38344,19355,0.009600,0.012330
38344,19355,0.009425,0.013446
38344,19355,0.009588,0.012406
38344,19355,0.009110,0.014318
38344,19355,0.006976,0.014942
38344,19355,0.009363,0.012361
38344,19355,0.009577,0.012045
38344,19355,0.009168,0.012759
38344,19355,0.009187,0.012167
38344,19355,0.009357,0.012330
38344,19355,0.009192,0.012441
38344,19355,0.010118,0.012580
38344,19355,0.009514,0.012696
38344,19355,0.009099,0.012252
38344,19355,0.009377,0.012332
38344,19355,0.010238,0.012193
38344,19355,0.009249,0.012461
38344,19355,0.009447,0.012280
38344,19355,0.009204,0.012609
38344,19355,0.010323,0.012237
38344,19355,0.009123,0.013047
38344,19355,0.009339,0.012130
38344,19355,0.009288,0.011941
38344,19355,0.010205,0.012529
38344,19355,0.010266,0.012244
38344,19355,0.009134,0.013066
38344,19355,0.010410,0.012712
38344,19355,0.009215,0.012220
38344,19355,0.009211,0.012453
38344,19355,0.009243,0.011836
38344,19355,0.008872,0.012035
38344,19355,0.009319,0.012336
38344,19355,0.009228,0.012461
38344,19355,0.009084,0.012219
38344,19355,0.010096,0.012410
38344,19355,0.008997,0.012255
38344,19355,0.009206,0.012301
38344,19355,0.009288,0.012418
38344,19355,0.008712,0.013676
38344,19355,0.011093,0.012512
38344,19355,0.009300,0.011672
38344,19355,0.009077,0.012886
38344,19355,0.009153,0.012257
38344,19355,0.009166,0.013071
38344,19355,0.009097,0.012663
38344,19355,0.009609,0.012608
38344,19355,0.010139,0.012416
38344,19355,0.010119,0.012323
38344,19355,0.009387,0.012645
38344,19355,0.009227,0.012401
38344,19355,0.009064,0.012369
38344,19355,0.009298,0.012404
