Encontrados,Colisoes,TempoInsercao,TempoBusca
38344,41351,0.013170,0.072146
38344,41351,0.011376,0.089125
38344,41351,0.010764,0.089276
38344,41351,0.012516,0.063858
38344,41351,0.013024,0.071540
38344,41351,0.013254,0.099281
38344,41351,0.011900,0.188505
38344,41351,0.016727,0.078101
38344,41351,0.012221,0.078041
38344,41351,0.012650,0.075723
38344,41351,0.012828,0.101984
38344,41351,0.013336,0.064995
38344,41351,0.013247,0.076287
38344,41351,0.013051,0.077359
38344,41351,0.013340,0.068039
38344,41351,0.013849,0.070242
38344,41351,0.018632,0.109648
38344,41351,0.012496,0.065245
38344,41351,0.011707,0.066117
38344,41351,0.013119,0.066609
38344,41351,0.012790,0.071958
38344,41351,0.013129,0.071966
38344,41351,0.014501,0.076676
38344,41351,0.012313,0.063238
38344,41351,0.012694,0.071106
38344,41351,0.016502,0.095601
38344,41351,0.017822,0.132821
38344,41351,0.011736,0.069038
38344,41351,0.012666,0.066330
38344,41351,0.012034,0.065521
38344,41351,0.011672,0.064794
38344,41351,0.012464,0.063130
38344,41351,0.011777,0.067455
38344,41351,0.012485,0.065357
38344,41351,0.013160,0.065139
38344,41351,0.012422,0.064550
38344,41351,0.012992,0.064724
38344,41351,0.012868,0.065260
38344,41351,0.012321,0.064768
38344,41351,0.012306,0.065322
38344,41351,0.012500,0.065058
38344,41351,0.012249,0.063144
38344,41351,0.012086,0.065378
38344,41351,0.012331,0.066544
38344,41351,0.011863,0.064577
38344,41351,0.012786,0.065182
38344,41351,0.013224,0.067703
38344,41351,0.014598,0.071010
38344,41351,0.011540,0.064565
38344,41351,0.012970,0.064852
38344,41351,0.011926,0.065771
38344,41351,0.011706,0.064922
