Encontrados,Colisoes,TempoInsercao,TempoBusca
38344,39582,0.021770,0.067119
38344,39582,0.022923,0.064504
38344,39582,0.027888,0.064174
38344,39582,0.021183,0.064768
38344,39582,0.020707,0.064154
38344,39582,0.021327,0.064396
38344,39582,0.021675,0.064598
38344,39582,0.021173,0.069610
38344,39582,0.021088,0.064829
38344,39582,0.021413,0.064733
38344,39582,0.021549,0.071693
38344,39582,0.020769,0.061083
38344,39582,0.020830,0.062810
38344,39582,0.020489,0.063145
38344,39582,0.385152,1.072698
38344,39582,0.327744,1.014025
38344,39582,0.023091,0.064020
38344,39582,0.026334,0.072170
