Encontrados,Colisoes,TempoInsercao,TempoBusca
38344,49497,0.116222,0.385711
38344,49497,0.112543,0.313333
38344,49497,0.096797,0.305344
38344,49497,0.094504,0.308108
38344,49497,0.097081,0.312128
38344,49497,0.113666,0.421157
38344,49497,0.105374,0.438500
38344,49497,0.096399,0.323591
38344,49497,0.138042,0.388609
38344,49497,0.133521,0.435452
38344,49497,0.113693,0.286785
38344,49497,0.114698,0.360425
38344,49497,0.096088,0.288853
38344,49497,0.095990,0.280419
38344,49497,0.186079,0.571295
38344,49497,0.153871,0.561879
38344,49497,0.111285,0.389806
38344,49497,0.105473,0.323247
38344,49497,0.145551,0.493572
38344,49497,0.112079,0.341551
38344,49497,0.107120,0.356084
38344,49497,0.107913,0.323624
38344,49497,0.118273,0.353159
38344,49497,0.114465,0.368879
38344,49497,0.119901,0.384161
38344,49497,0.134860,0.398581
38344,49497,0.115619,0.528688
38344,49497,0.196292,0.384255
38344,49497,0.097549,0.286450
38344,49497,0.095770,0.281783
38344,49497,0.100354,0.278217
38344,49497,0.099272,0.303796
38344,49497,0.094926,0.323741
38344,49497,0.095776,0.288408
38344,49497,0.095594,0.280787
38344,49497,0.106995,0.333685
38344,49497,0.093997,0.285291
38344,49497,0.097058,0.281355
38344,49497,0.096146,0.279912
38344,49497,0.096652,0.287421
38344,49497,0.094321,0.280830
38344,49497,0.097004,0.281583
38344,49497,0.098491,0.276164
38344,49497,0.098308,0.281882
38344,49497,0.098740,0.280515
38344,49497,0.095033,0.283189
38344,49497,0.096725,0.276399
38344,49497,0.097996,0.279239
38344,49497,0.095315,0.280455
38344,49497,0.096344,0.279084
38344,49497,0.096616,0.276548
38344,49497,0.094292,0.283784
