Encontrados,Colisoes,TempoInsercao,TempoBusca
38344,49497,0.181534,0.392124
38344,49497,0.177482,0.393599
38344,49497,0.176129,0.363361
38344,49497,0.176691,0.359748
38344,49497,0.192452,0.375318
38344,49497,0.176910,0.374725
38344,49497,0.177805,0.356904
38344,49497,0.178474,0.354219
38344,49497,0.176994,0.356716
38344,49497,0.173501,0.350493
38344,49497,0.175473,0.350694
38344,49497,0.180953,0.442280
38344,49497,0.181496,0.361263
38344,49497,0.179671,0.367225
38344,49497,0.178234,0.358118
38344,49497,0.177249,0.354531
38344,49497,0.176307,0.360303
38344,49497,0.187423,0.380923
38344,49497,0.177753,0.349033
38344,49497,0.177099,0.351831
38344,49497,0.180905,0.358389
38344,49497,0.175175,0.354520
38344,49497,0.176542,0.354619
38344,49497,0.177137,0.351405
38344,49497,0.224029,0.347562
38344,49497,0.180382,0.352158
38344,49497,0.171635,0.354671
38344,49497,0.174829,0.353977
38344,49497,0.174280,0.354013
38344,49497,0.174816,0.352425
38344,49497,0.181404,0.363867
38344,49497,0.175391,0.358868
38344,49497,0.175138,0.353417
38344,49497,0.177077,0.351147
38344,49497,0.192814,0.360248
38344,49497,0.175091,0.369596
38344,49497,0.213895,0.456671
38344,49497,0.176479,0.352052
38344,49497,0.172135,0.338495
38344,49497,0.170176,0.351112
38344,49497,0.172081,0.349830
38344,49497,0.172114,0.340217
38344,49497,0.173438,0.340108
38344,49497,0.179245,0.341303
38344,49497,0.172390,0.336654
38344,49497,0.172043,0.339023
38344,49497,0.172546,0.345759
38344,49497,0.183830,0.371150
38344,49497,0.172718,0.339104
38344,49497,0.171517,0.410690
38344,49497,0.179287,0.359449
38344,49497,0.174480,0.339077
