Encontrados,Colisoes,TempoInsercao,TempoBusca
38344,41351,0.088376,0.282795
38344,41351,0.090138,0.294628
38344,41351,0.094762,0.305126
38344,41351,0.093445,0.289371
38344,41351,0.094097,0.284146
38344,41351,0.094656,0.287735
38344,41351,0.094169,0.288200
38344,41351,0.096309,0.279663
38344,41351,0.093381,0.282188
38344,41351,0.093415,0.282207
38344,41351,0.093581,0.288328
38344,41351,0.093144,0.282860
38344,41351,0.113026,0.369761
38344,41351,0.094214,0.282438
38344,41351,0.093618,0.286438
38344,41351,0.092109,0.285079
38344,41351,0.094829,0.277993
38344,41351,0.093404,0.279131
38344,41351,0.094711,0.284741
38344,41351,0.095450,0.283399
38344,41351,0.093161,0.286158
38344,41351,0.097990,0.287084
38344,41351,0.093405,0.289138
38344,41351,0.096734,0.295173
38344,41351,0.093707,0.344235
38344,41351,0.096940,0.282707
38344,41351,0.095086,0.280868
38344,41351,0.093786,0.287302
38344,41351,0.092841,0.294397
38344,41351,0.093485,0.287393
38344,41351,0.092685,0.284527
38344,41351,0.093253,0.280578
38344,41351,0.093420,0.280844
38344,41351,0.093142,0.281111
38344,41351,0.092888,0.283367
38344,41351,0.093171,0.283533
38344,41351,0.094608,0.295665
38344,41351,0.112252,0.301836
38344,41351,0.095035,0.279647
38344,41351,0.091287,0.269668
38344,41351,0.093604,0.269546
38344,41351,0.093118,0.292274
38344,41351,0.090819,0.274039
38344,41351,0.094244,0.275798
38344,41351,0.094703,0.272742
38344,41351,0.092360,0.273900
38344,41351,0.091990,0.277148
38344,41351,0.091231,0.275695
38344,41351,0.092420,0.274155
38344,41351,0.092213,0.276010
38344,41351,0.111745,0.361404
38344,41351,0.091403,0.268783
