Encontrados,Colisoes,TempoInsercao,TempoBusca
38344,20630,0.008446,0.011891
38344,20630,0.010409,0.014013
38344,20630,0.011104,0.013413
38344,20630,0.010594,0.012875
38344,20630,0.010469,0.012096
38344,20630,0.010785,0.012495
38344,20630,0.010455,0.012396
38344,20630,0.010682,0.012454
38344,20630,0.010400,0.012403
38344,20630,0.010708,0.012359
38344,20630,0.010211,0.012708
38344,20630,0.010615,0.012935
38344,20630,0.010456,0.012816
38344,20630,0.010444,0.012782
38344,20630,0.010256,0.012992
38344,20630,0.010339,0.012463
38344,20630,0.011101,0.012352
38344,20630,0.011872,0.012829
38344,20630,0.010732,0.012605
38344,20630,0.010475,0.012560
38344,20630,0.010480,0.012660
38344,20630,0.010154,0.012717
38344,20630,0.010767,0.012125
38344,20630,0.010627,0.012852
38344,20630,0.015096,0.016894
38344,20630,0.010852,0.012735
38344,20630,0.010609,0.012435
38344,20630,0.010723,0.012515
38344,20630,0.010780,0.012859
38344,20630,0.010137,0.012295
38344,20630,0.011545,0.013871
38344,20630,0.010206,0.012497
38344,20630,0.010072,0.012590
38344,20630,0.011536,0.012803
38344,20630,0.010302,0.012457
38344,20630,0.010264,0.012745
38344,20630,0.011954,0.015058
38344,20630,0.010331,0.012720
38344,20630,0.011249,0.012383
38344,20630,0.010371,0.012385
38344,20630,0.010747,0.012300
38344,20630,0.011954,0.012551
38344,20630,0.010476,0.012449
38344,20630,0.012068,0.012941
38344,20630,0.010227,0.012575
38344,20630,0.010351,0.012698
38344,20630,0.010193,0.012656
38344,20630,0.011382,0.012357
38344,20630,0.010602,0.012480
38344,20630,0.010258,0.012736
38344,20630,0.011367,0.012588
38344,20630,0.011823,0.012799
