Encontrados,Colisoes,TempoInsercao,TempoBusca
38344,49495,0.207295,0.657320
38344,49495,0.207842,0.698027
38344,49495,0.203196,0.573895
38344,49495,0.222435,0.588005
38344,49495,0.211740,1.047502
38344,49495,0.205849,0.708712
38344,49495,0.215911,0.805432
38344,49495,0.292989,0.674095
38344,49495,0.221325,0.622573
38344,49495,0.215831,0.787802
38344,49495,0.219971,0.747118
38344,49495,0.212937,0.775568
38344,49495,0.218496,0.681327
38344,49495,0.205317,0.589695
38344,49495,0.215143,0.743064
38344,49495,0.243891,1.028261
38344,49495,0.328348,0.913171
38344,49495,0.224486,0.839450
38344,49495,0.228234,0.698575
38344,49495,0.249310,0.831008
38344,49495,0.224165,0.800870
38344,49495,0.216773,0.678887
38344,49495,0.215192,0.713599
38344,49495,0.217424,0.672262
38344,49495,0.214858,0.696833
38344,49495,0.221000,0.794488
38344,49495,0.285610,0.769303
38344,49495,0.340326,0.956230
38344,49495,0.221731,0.755024
38344,49495,0.204247,0.579677
38344,49495,0.204248,0.590000
38344,49495,0.205265,0.620250
38344,49495,0.205167,0.592806
38344,49495,0.203656,0.665955
38344,49495,0.206860,0.596133
38344,49495,0.204464,0.585503
38344,49495,0.205586,0.580034
38344,49495,0.206215,0.573884
38344,49495,0.217104,0.643047
38344,49495,0.204367,0.608266
38344,49495,0.231847,0.623341
38344,49495,0.204612,0.575447
38344,49495,0.207039,0.574436
38344,49495,0.203036,0.575261
38344,49495,0.205004,0.572070
38344,49495,0.218325,0.570420
38344,49495,0.207301,0.571375
38344,49495,0.203355,0.577243
38344,49495,0.206893,0.651815
38344,49495,0.207107,0.577514
38344,49495,0.204135,0.603348
38344,49495,0.204118,0.573105
