Encontrados,Colisoes,TempoInsercao,TempoBusca
38344,49495,0.058033,0.212890
38344,49495,0.060647,0.200102
38344,49495,0.047693,0.215556
38344,49495,0.059745,0.174802
38344,49495,0.056188,0.211808
38344,49495,0.050760,0.147478
38344,49495,0.053576,0.145676
38344,49495,0.049646,0.146605
38344,49495,0.047919,0.171408
38344,49495,0.048646,0.149550
38344,49495,0.049797,0.165838
38344,49495,0.060861,0.197215
38344,49495,0.054565,0.161777
38344,49495,0.074545,0.236831
38344,49495,0.056892,0.214214
38344,49495,0.049910,0.226683
38344,49495,0.063464,0.285077
38344,49495,0.069394,0.236988
38344,49495,0.068178,0.247116
38344,49495,0.060200,0.194760
38344,49495,0.062449,0.238043
38344,49495,0.055108,0.170889
38344,49495,0.051898,0.179769
38344,49495,0.061639,0.174143
38344,49495,0.050783,0.158904
38344,49495,0.061788,0.254306
38344,49495,0.074253,0.290090
38344,49495,0.072327,0.267334
38344,49495,0.062192,0.185207
38344,49495,0.051729,0.160058
38344,49495,0.045213,0.199321
38344,49495,0.059469,0.196539
38344,49495,0.060602,0.179797
38344,49495,0.052679,0.184327
38344,49495,0.049178,0.157256
38344,49495,0.048597,0.164321
38344,49495,0.047876,0.153553
38344,49495,0.053053,0.181535
38344,49495,0.050179,0.182558
38344,49495,0.045404,0.151527
38344,49495,0.049637,0.184819
38344,49495,0.048729,0.181048
38344,49495,0.064951,0.186695
38344,49495,0.060804,0.190791
38344,49495,0.052582,0.166819
38344,49495,0.047734,0.156238
38344,49495,0.050677,0.155234
38344,49495,0.048329,0.150154
38344,49495,0.060671,0.177556
38344,49495,0.045685,0.238779
38344,49495,0.066705,0.219872
38344,49495,0.057859,0.232075
