Encontrados,Colisoes,TempoInsercao,TempoBusca
38344,19355,0.009160,0.007565
38344,19355,0.009211,0.007543
38344,19355,0.008626,0.009100
38344,19355,0.010239,0.007581
38344,19355,0.008912,0.007627
38344,19355,0.009856,0.007224
38344,19355,0.008872,0.008876
38344,19355,0.009341,0.007754
38344,19355,0.008421,0.007629
38344,19355,0.010141,0.007532
38344,19355,0.010018,0.007452
38344,19355,0.009324,0.007178
38344,19355,0.009857,0.007207
38344,19355,0.008699,0.008211
38344,19355,0.112749,0.089476
38344,19355,0.105499,0.060285
38344,19355,0.009089,0.007907
38344,19355,0.007772,0.012814
