Encontrados,Tempo
35557,0.111810
35557,0.101363
35557,0.116584
35557,0.143181
35557,0.117482
35557,0.118525
35557,0.120310
35557,0.113991
35557,0.109883
35557,0.121009
35557,0.150581
35557,0.119468
35557,0.139161
35557,0.140563
35557,0.196656
35557,0.145878
35557,0.135775
35557,0.119145
35557,0.165414
35557,0.125191
35557,0.172011
35557,0.168930
35557,0.115734
35557,0.110731
35557,0.104305
35557,0.105997
35557,0.112183
35557,0.100966
35557,0.100535
35557,0.102219
35557,0.101023
35557,0.101576
35557,0.101122
35557,0.132072
35557,0.105833
35557,0.106702
35557,0.119463
35557,0.103262
35557,0.105129
35557,0.101168
35557,0.108486
35557,0.100150
35557,0.101057
35557,0.103391
35557,0.100806
35557,0.115878
35557,0.116438
35557,0.116197
35557,0.168120
35557,0.114185
35557,0.107977
35557,0.117183
