Encontrados,Tempo
35557,0.574448
35557,0.610165
35557,0.602161
35557,0.553984
35557,0.624471
35557,0.660817
35557,0.702786
35557,0.567971
35557,0.532178
35557,0.517504
35557,0.517745
35557,0.568035
35557,0.616990
35557,0.604454
35557,0.627945
35557,0.616680
35557,0.590086
35557,0.537921
35557,0.520448
35557,0.589932
35557,0.586768
35557,0.572664
35557,0.568132
35557,0.630777
35557,0.620747
35557,0.603057
35557,0.632713
35557,0.598727
35557,0.570163
35557,0.644069
35557,0.545889
35557,0.514234
35557,0.526480
35557,0.567828
35557,0.550146
35557,0.541038
35557,0.593507
35557,0.571656
35557,0.620529
35557,0.610494
35557,0.520385
35557,0.521769
35557,0.513556
35557,0.505750
35557,0.514653
35557,0.510494
35557,0.512503
35557,0.522491
35557,0.507392
35557,0.536395
35557,0.505861
35557,0.509802
