Encontrados,Tempo
35557,0.555694
35557,0.521901
35557,0.494780
35557,0.503686
35557,0.491485
35557,0.475862
35557,0.493678
35557,0.484707
35557,0.476651
35557,0.479904
35557,0.517713
35557,0.574335
35557,0.568081
35557,0.468490
35557,0.533589
35557,0.519330
35557,0.495072
35557,0.475815
35557,0.467018
35557,0.504904
35557,0.514967
35557,0.539570
35557,0.576949
35557,0.508756
35557,0.470511
35557,0.493564
35557,0.497664
35557,0.508310
35557,0.557167
35557,0.643478
35557,0.536125
35557,0.624764
35557,0.539170
35557,0.551986
35557,0.528586
35557,0.595418
35557,0.522586
35557,0.551857
35557,0.552142
35557,0.525227
35557,0.539057
35557,0.515708
35557,0.522879
35557,0.567765
35557,0.609745
35557,0.599671
35557,0.631846
35557,0.612056
35557,0.569212
35557,0.591580
35557,0.533577
35557,0.527164
